data;valor;membro_id;categoria;descricao
02-28-2024;-94.68;Rafael;Mercado;Delivery
2024-02-29;-600,62;Felipe;Supermercado;Supermercado semanal
02-29-2024;-116.19;Rafael;educacao;Curso online
;-116.19;Rafael;Cursos;
29/02/2024;-600,62;Felipe;Mercado;SUPERMERCADO SEMANAL
01/03/2024;-703,07;Felip;alimentacao;
02/03/2024;R$ -26,90;Felipe;Gastos com Carro;Estacionamento
2024-03-02;-33.48;Rafael;Combustivel;ESTACIONAMENTO
2024-03-02;-40,41;Rafael;alimentacao;Lanche
2024-03-02;-40,41;Rafael;ALIMENTACAO;Lanche
2024-03-02;R$ -33,48;Rafael;Uber/taxi;ESTACIONAMENTO
2024-03-03;-18.62;Rafael;TRANSPORTE;estacionamento
05/03/2024;-50.01;Rafael;Gastos com Carro;
05/03/2024;-144.51;Calebe;Transporte;Combustivel
03-06-2024;-42,14;Rafael;Uber/taxi;Estacionamento
2024-03-07;-3,690.29;Calebe;MORADIA;Aluguel residencial
03-07-2024;-174.51;Rafael;Streaming;Passeio
03-07-2024;8000.00;Calebe;Renda;Salario mensal de Calebe
2024-03-07;-176.67;Rafael;lazer;show/evento
08/03/2024;-39,79;Felipe;lazer;App de musica
08/03/2024;-39.79;Felipe;Streaming;
08/03/2024;-17.49;Felipe;Uber/taxi;Estacionamento
2024-03-08;-39,79;Felipe;Lazer;App de musica
09/03/2024;-266.31;Felipe;Consulta;
2024-03-09;-634.25;Felipe;Mercado;Supermercado semanal
2024-03-10;-37.70;Rafael;Alimentacao;Café/Lanche
2024-03-10;-78,51;Rafael;Alimentacao;Lanche
2024-03-10;-948.93;Calebe;Combustivel;Parcela carro/seguro *
03-10-2024;-948,93;Calebe;Uber/taxi;Parcela carro/seguro
03-11-2024;-185,91;Rafael;lazer;Cinema
2024-03-12;-54.29;Felipe;Gastos com Carro;Estacionamento
2024-03-12;-54,29;Felipe;Uber/taxi;Estacionamento
03-12-2024;-141,76;Calebe;transporte;Combustivel
12/03/2024;-54,29;Felipe;transporte;Estacionamento
03-14-2024;-11,28;Felipe;Restaurante;Café/Lanche
14/03/2024;-11.28;Felipe;alimentacao;Café/Lanche
14/03/2024;-11.28;Felipe;ALIMENTACAO;
2024-03-15;R$ -51.24;Felipe;lazer;app de musica
15/03/2024;-109,12;Rafael;Supermercado;Delivery
2024-03-15;R$ 4000.00;Felipe;salario;Salario mensal de Felipe
15/03/2024;4000.00;Felipe;Pagamento;Salario mensal de Felipe
03-18-2024;-403,39;Felipe;Plano de Saude;Exame medico
03-21-2024;-30,24;Rafael;alimentacao;Café/Lanche
03-21-2024;R$ -149.89;Rafael;EDUCACAO;Curso online
22/03/2024;-188.48;Calebe;Transporte;Combustivel
2024-03-23;R$ -785,09;Felipe;alimentacao;Supermercado semanal
2024-03-23;-24,38;Rafael;Restaurante;Café/Lanche
25/03/2024;-115,02;Felipe;Cursos;Assinatura educacional
2024-03-25;-61.78;Felipe;Entretenimento;
25/03/2024;800,00;Rafael;Depósito;SALARIO MENSAL DE RAFAEL
03-25-2024;-115,02;Felipe;Estudos;Assinatura educacional
26/03/2024;-59.57;Rafael;Mercado;delivery
26/03/2024;-59,57;Rafael;Mercado;Delivery
2024-03-27;-28,52;Rafel;ALIMENTACAO;Delivery
2024-03-27;-28,52;Rafael;Supermercado;Delivery
2024-03-28;-921.83;Calebe;educacao;Transferencia para Poupanca
28/03/2024;-81,85;Rafael;Restaurante;Lanche
2024-07-07;-3559.90;Calebe;MORADIA;Aluguel residencial *
2024-03-30;-23,25;Felipe;Restaurante;Café/Lanche
30/03/2024;-60.78;Felipe;Cinema/Show;App de musica
2024-03-31;-19.22;Rafael;Lazer;
03-31-2024;R$ -703,82;Felipe;Mercado;Supermercado semanal
2024-03-31;-703,82;Felipe;Restaurante;
04-02-2024;-30.20;Rafael;Gastos com Carro;ESTACIONAMENTO
02/04/2024;-452,93;Felipe;ALIMENTACAO;Supermercado semanal
2024-04-02;-33.56;Rafael;Uber/taxi;Estacionamento
04-04-2024;R$ -11,30;Felipe;Entretenimento;App de musica
04/04/2024;-11.30;Felipe;Lazer;App de musica
2024-04-04;-10,17;Felipe;LAZER;App de musica *
05/04/2024;-13,38;Rafael;Mercado;Café/Lanche
04-05-2024;-243,38;Felipe;SAUDE;Consulta *
04-05-2024;8.000,00;Calebe;salario;Salario mensal de Calebe
05/04/2024;-112,92;Calebe;Combustivel;Combustivel
05/04/2024;-112,92;Calebe ;Transporte;Combustivel
04-07-2024;R$ -86,04;Rafael;alimentacao;jantar fora
02-21-2025;-89.04;Rafael;Restaurante;LANCHE
04-07-2024;-2.969,20;Calebe;Moradia;Aluguel residencial
2024-04-07;R$ -2,672.28;Calebe;moradia;aluguel residencial
04-07-2024;-108.71;Rafael;Cinema/Show;Passeio
04-08-2024;-19.07;Rafael;Cinema/Show;app de musica
2024-04-08;-162,49;Calebe;Uber/taxi;Combustivel
;-201.36;Felipe;saude;Consulta
08/04/2024;-201,36;Felipe;Saude;consulta
2024-04-10;-529,04;Felipe;Mercado;Supermercado semanal
10/04/2024;-763,51;Calebe;TRANSPORTE;Parcela carro/seguro
2024-04-10;-763,51;Calebe;Combustivel;Parcela carro/seguro
10/04/2024;-529,04;Felipe;Alimentacao;supermercado semanal
04-10-2024;-85.42;Rafael;Mercado;Lanche
2024-04-10;-14,59;Rafael;Gastos com Carro;Estacionamento
04-11-2024;-43.46;Felipe;Restaurante;Café/Lanche
2024-04-11;-43.46;Felipe;Alimentacao;Café/Lanche
2024-04-11;-70,05;Rafael;ALIMENTACAO;DELIVERY
04-11-2024;-70.05;Rafael;Restaurante;Delivery
2024-04-11;-43.46;Felipe;ALIMENTACAO;Café/Lanche *
2024-04-14;-139.39;Rafael;Entretenimento;streaming anual
2024-04-14;-139.39;Rafel;Lazer;Streaming anual
04-14-2024;-170,02;Calebe;Combustivel;Combustivel
04-15-2024;4.000,00;Felipe;salario;Salario mensal de Felipe
04-15-2024;4,000.00;Felipe;Renda;Salario mensal de Felipe
16/04/2024;-45.60;Rafael;Uber/taxi;ESTACIONAMENTO
2024-04-16;-45,60;Rafael;Gastos com Carro;Estacionamento
2024-04-17;-91.15;Rafael;ALIMENTACAO;Lanche *
2024-04-17;-14,57;Felipe;transporte;Estacionamento
17/04/2024;-16,18;Felipe;TRANSPORTE;ESTACIONAMENTO
2024-04-17;-565.38;Felipe;Restaurante;Supermercado semanal
18/04/2024;-20.56;Felipe;LAZER;app de musica
18/04/2024;-20,56;Felipe;Entretenimento;
04-20-2024;-22.64;Rafael;ALIMENTACAO;Lanche
20/04/2024;-106,90;Rafael;LAZER;Cinema
20/04/2024;-106,90;Rafael;Streaming;Cinema
2024-04-22;-151,10;Calebe;TRANSPORTE;Combustivel *
04-22-2024;-14,31;Felipe;transporte;
22/04/2024;-15.89;Felipe;Gastos com Carro;Estacionamento
2024-04-23;-112,30;Caleb;Combustivel;COMBUSTIVEL
24/04/2024;R$ -569,23;Felipe;Restaurante;supermercado semanal
04-24-2024;-30,00;Rafael;Supermercado;LANCHE
04-25-2024;800,00;Rafael;Renda;Salario mensal de Rafael
;-21.97;Felipe;Combustivel;estacionamento
25/04/2024;R$ -21.97;Felipe;transporte;Estacionamento
26/04/2024;-39,96;Rafael;alimentacao;DELIVERY
2024-04-27;R$ -84.54;Rafael;lazer;Cinema
04-28-2024;-1033,82;Felipe;Cursos;Transferencia para Poupanca
2024-04-29;-112.51;Rafael;Entretenimento;Passeio
29/04/2024;-58.88;Rafael;Alimentacao;DELIVERY
04-29-2024;R$ -112.51;Rafael;Streaming;Passeio
30/04/2024;-463.05;Felipe;ALIMENTACAO;Supermercado semanal
2024-04-30;-43,12;Rafael;Uber/taxi;
05-03-2024;-485,88;Felipe;Mercado;
05-03-2024;-38.30;Felipe;Restaurante;Café/Lanche
2024-05-03;-39.56;Felipe;Supermercado;café/lanche
19/02/2025;-16,72;Rafel;Alimentacao;Café/Lanche
2024-05-05;R$ -121.37;Calebe ;transporte;Combustivel
05-05-2024;-37.44;Rafael;lazer;App de musica
05-05-2024;-121,37;Calebe;Uber/taxi;combustivel
05-06-2024;-45,66;Rafael;ALIMENTACAO;Jantar fora
2024-05-06;R$ -38,47;Rafael;Lazer;App de musica
2024-05-07;-25.87;Rafael;transporte;Estacionamento
;R$ -3.393,17;Calebe;MORADIA;aluguel residencial
2024-05-07;8000,00;Calebe;Renda;
2024-05-09;-45.32;Felipe;Restaurante;Café/Lanche
05-09-2024;R$ -45,32;Felipe;Restaurante;Café/Lanche
05-09-2024;-68.25;Rafael;Supermercado;Jantar fora
09/05/2024;-37.11;Rafael;Supermercado;Lanche
10/05/2024;-872.53;Calebe;Combustivel;Parcela carro/seguro
04-18-2025;-101.45;Rafael;Cinema/Show;STREAMING ANUAL
2024-05-13;-349,13;Felipe;Farmacia;Consulta
13/05/2024;-167.11;Calebe;TRANSPORTE;Combustivel
05-13-2024;-167,11;Calebe;Combustivel;Combustivel
13/05/2024;-349,13;Felipe;Plano de Saude;CONSULTA
05-14-2024;-104,22;Rafael;Entretenimento;Show/Evento
05-14-2024;-108,97;Rafael;Entretenimento;Streaming anual
2024-05-14;-58.08;Rafael;Mercado;Jantar fora
15/05/2024;-83,14;Rafael;Supermercado;JANTAR FORA
2024-05-15;-35,03;Rafael;transporte;ESTACIONAMENTO
2024-05-15;-83.14;Rafael;alimentacao;Jantar fora
05-15-2024;-83,14;Rafael;Mercado;Jantar fora
2024-05-15;4000,00;Felipe;Renda;Salario mensal de Felipe
16/05/2024;-164.54;Rafael;LAZER;Show/Evento
16/05/2024;-164.54;Rafael;Cinema/Show;Show/Evento
2024-05-18;-517.12;Felipe;Restaurante;Supermercado semanal
2024-05-18;-217,71;Felipe;Cursos;
2024-05-18;-40.37;Rafael;alimentacao;Café/Lanche
2024-05-19;-54,84;Rafael;Restaurante;café/lanche
19/05/2024;R$ -51,42;Rafael;transporte;estacionamento
20/05/2024;-13.79;Rafael;lazer;App de musica
2024-05-21;R$ -29.99;Rafael;Uber/taxi;Estacionamento
2024-05-25;-514,42;Felipe;Supermercado;Supermercado semanal
25/05/2024;800.00;Rafael;salario;Salario mensal de Rafael
04-12-2025;-153,46;Calebe;TRANSPORTE;
2024-05-25;R$ -48,24;Rafael;TRANSPORTE;Estacionamento
2024-05-26;R$ -200.31;Rafael;Streaming;PASSEIO
27/05/2024;R$ -59,70;Rafael;Mercado;
27/05/2024;-41.33;Felipe;transporte;Estacionamento *
2024-05-28;-163,51;Rafael;Educacao;
2024-05-28;-163,51;Rafael;Estudos;Material didatico
2024-05-28;-197.14;Calebe;Transporte;
2024-05-28;-1562,53;Felipe;Educacao;Transferencia para Poupanca
2024-05-29;-33,55;Rafael;ALIMENTACAO;Café/Lanche
2024-05-29;-33.55;Rafael;Supermercado;Café/Lanche
05-30-2024;-16.36;Rafael;transporte;Estacionamento
2024-06-01;-8.27;Felipe;transporte;Estacionamento
01/06/2024;-16,10;Felipe;alimentacao;Café/Lanche
06-01-2024;R$ -9,19;Felipe;TRANSPORTE;ESTACIONAMENTO
06-01-2024;-9.19;Felipe;Transporte;Estacionamento
2024-06-02;-467,21;Felipe;Alimentacao;Supermercado semanal
02/06/2024;-13.21;Felipe;ALIMENTACAO;Café/Lanche
03/06/2024;-14.00;Felipe;Transporte;Estacionamento
2024-06-04;-75,52;Rafael;alimentacao;Jantar fora
2024-06-06;-146,55;Rafael;Entretenimento;Streaming anual
07/06/2024;8.000,00;Calebe;Salario;Salario mensal de Calebe
2024-06-07;R$ -2556.10;Calebe;Aluguel;Aluguel residencial
2024-06-07;-119.62;Calebbe;Gastos com Carro;Combustivel
2024-06-08;-235.30;Rafael;Cursos;Material didatico
09/06/2024;-522,93;Felipe;Supermercado;Supermercado semanal
2024-06-09;-470,64;Felipe;Mercado;Supermercado semanal
2024-06-09;-9,39;Rafael;Transporte;Estacionamento
06-09-2024;-33,23;Rafael;transporte;Estacionamento
2024-06-10;-657,28;Calebe;transporte;Parcela carro/seguro
2024-06-11;-56,25;Rafael;Streaming;Cinema
2024-06-11;-56,25;Rafael;Cinema/Show;CINEMA
06-11-2024;-56.25;Rafael;Cinema/Show;Cinema
13/06/2024;-99.15;Calebe;Gastos com Carro;Combustivel
2024-06-13;-99,15;Calebe;TRANSPORTE;Combustivel
2024-06-14;-13.63;Rafael;lazer;App de musica
2024-06-15;-39.20;Rafael;Alimentacao;Delivery
2024-06-15;-65.86;Rafael;ALIMENTACAO;Jantar fora
2024-06-15;-38.75;Rafael;Supermercado;Delivery
06-15-2024;4.000,00;Felipe;salario;salario mensal de felipe
2024-06-15;-65,86;Rafael;Mercado;Jantar fora
2024-06-16;-72.47;Rafael;Mercado;Delivery *
01-19-2025;-90.20;Felipe;Farmacia;Exame medico
06-17-2024;-507,33;Felipe;Restaurante;Supermercado semanal
06-17-2024;-507,33;Felipe;Alimentacao;Supermercado semanal
17/06/2024;-507.33;Felipe;Restaurante;SUPERMERCADO SEMANAL
2024-06-18;-160.32;Rafael;Streaming;
;-38,38;Felipe;alimentacao;Café/Lanche
2024-06-19;-17,20;Rafael;Supermercado;Lanche
2024-06-19;-8,85;Felipe;transporte;Estacionamento
06-19-2024;-38.38;Felipe;Mercado;Café/Lanche
2024-06-19;-36.57;Rafael;Alimentacao;Café/Lanche
2024-06-19;-8.85;Felipe;transporte;Estacionamento
06-21-2024;R$ -121,60;Rafael;LAZER;Cinema
21/06/2024;-34.51;Rafael;LAZER;App de musica
2024-06-22;-141.61;Rafael;LAZER;Show/Evento
2024-06-22;-141.61;Rafael;Entretenimento;Show/Evento
12-07-2024;R$ -2563,60;Calebe;MORADIA;Aluguel residencial
2024-06-23;-140.93;Calebe;Gastos com Carro;Combustivel
23/06/2024;-126.83;Calebe;transporte;COMBUSTIVEL
25/06/2024;-14,35;Rafael;alimentacao;Café/Lanche
06-25-2024;-41,18;Felipe;Uber/taxi;Estacionamento
;-41.18;Felipe;transporte;Estacionamento
06-25-2024;-110.60;Calebe;Transporte;
2024-06-25;800.00;Rafael;SALARIO;Salario mensal de Rafael
26/06/2024;R$ -37,90;Rafael;Lazer;app de musica
2024-06-26;-14,54;Rafael;ALIMENTACAO;Café/Lanche
27/06/2024;-112.57;Felipe;Consulta;Exame medico
2024-06-28;-909.31;Felipe;educacao;TRANSFERENCIA PARA POUPANCA
28/06/2024;-31,27;Rafael;Mercado;CAFÉ/LANCHE
06-29-2024;-156.00;Calebe;TRANSPORTE;Combustivel
2024-06-30;-534.76;Felipe;ALIMENTACAO;Supermercado semanal
06-30-2024;-48,94;Rafael;Supermercado;Jantar fora
2024-06-30;-119.78;Rafael;Entretenimento;cinema
07-01-2024;-707,53;Felipe;alimentacao;Supermercado semanal
2024-07-03;-52,99;Rafael;alimentacao;
03/07/2024;-52,99;Rafael;Restaurante;CAFÉ/LANCHE
2024-07-03;R$ -71.24;Rafael;alimentacao;Jantar fora *
03/07/2024;-27,16;Felipe;Cinema/Show;App de musica
2024-07-05;8.000,00;Calebe;SALARIO;Salario mensal de Calebe
2024-07-06;R$ -26.13;Felipe;Uber/taxi;Estacionamento
07/07/2024;R$ -152.70;Calebe;TRANSPORTE;
2024-07-07;-3559.90;Calebe;MORADIA;Aluguel residencial
2024-07-08;-16.26;Rafael;Entretenimento;app de musica
07-08-2024;-16,26;Rafa;lazer;App de musica
2024-07-08;-56.06;Rafael;alimentacao;Jantar fora
2024-07-10;-200,44;Rafael;Entretenimento;Cinema
10/07/2024;-915.40;Calebe;Gastos com Carro;Parcela carro/seguro
07-12-2024;R$ -208.83;Felipe;saude;Exame medico
12/07/2024;-58.91;Felipe;Combustivel;Estacionamento
2024-07-12;-16.06;Feli pe;Supermercado;Café/Lanche
2024-07-12;-208.83;Felipe;Saude;Exame medico
2024-07-12;-208,83;Felipe;Consulta;
2024-07-13;-227.85;Rafael;Lazer;Show/Evento
2024-07-13;-227,85;Rafa;Entretenimento;Show/Evento
07-14-2024;-25,99;Rafael;TRANSPORTE;Estacionamento
2024-07-14;-65.22;Rafael;Supermercado;DELIVERY
2024-07-15;4000,00;Felipe;Pagamento;Salario mensal de Felipe
15/07/2024;-218.28;Calebe;Combustivel;Combustivel
07-17-2024;-36.25;Felipe;Gastos com Carro;
2024-07-17;R$ -36.25;Felipe;Uber/taxi;Estacionamento
17/07/2024;-36,25;Felipe;Combustivel;Estacionamento
2024-07-18;-657,20;Feli pe;Mercado;Supermercado semanal
07-18-2024;-32,11;Rafael;lazer;
2024-07-20;-260.54;Calebe;educacao;CURSO ONLINE
07-20-2024;R$ -50.22;Felipe;LAZER;App de musica
2024-07-20;-50,22;Felipe;Entretenimento;app de musica
2024-07-20;-50.22;Felipe;Entretenimento;App de musica
2024-07-21;-180,27;Calebe;Transporte;Combustivel
2024-07-21;-296.06;Felipe;saude;
2024-07-21;-64,93;Rafael;Restaurante;Delivery
07-22-2024;-725,96;Felipe;Mercado;SUPERMERCADO SEMANAL
07-23-2024;-55.25;Felipe;Combustivel;
2024-07-25;-26.16;Rafael ;transporte;Estacionamento
25/07/2024;-26.16;Rafael;Transporte;Estacionamento
2024-07-25;-26,16;Rafael;transporte;Estacionamento
07-25-2024;800.00;Rafael;Depósito;Salario mensal de Rafael
;-82,27;Rafael;Supermercado;Delivery
2024-07-27;-36.63;Rafael;Mercado;Café/Lanche
2024-07-27;-29.10;Rafael;ALIMENTACAO;Café/Lanche
2024-07-28;-1.505,41;Felipe;EDUCACAO;transferencia para poupanca
07-28-2024;-52,24;Felipe;Gastos com Carro;Estacionamento
07-29-2024;-65.86;Rafael;Restaurante;Lanche
;-65,86;Rafael;ALIMENTACAO;Lanche
30/07/2024;-659,83;Felipe;Supermercado;
2024-08-04;-29,57;Rafael;Uber/taxi;Estacionamento
04/08/2024;-647.96;Felipe;ALIMENTACAO;Supermercado semanal
2024-08-05;-117,25;Rafael;Cinema/Show;Show/Evento
03-21-2024;-30,24;Rafael;alimentacao;Café/Lanche
2024-08-07;8,000.00;Calebe;Depósito;Salario mensal de Calebe
2024-08-07;-3458.37;Calebe;MORADIA;Aluguel residencial
07/08/2024;-3458.37;Calebe;Aluguel;Aluguel residencial
2024-08-08;-70,72;Rafael;alimentacao;Delivery
2024-08-09;-84,55;Rafael;Supermercado;lanche
2024-08-10;-103,89;Rafaell;alimentacao;Delivery
10/08/2024;-39.45;Rafael;Supermercado;Café/Lanche
2024-08-10;-635.74;Felipe;Mercado;SUPERMERCADO SEMANAL
08-10-2024;-635.74;Felipe;ALIMENTACAO;Supermercado semanal
08-10-2024;R$ -39,45;Rafael;ALIMENTACAO;CAFÉ/LANCHE
08-10-2024;-889,30;Calebe;transporte;
2024-08-10;-889,30;Calebe;Combustivel;PARCELA CARRO/SEGURO
2024-08-11;R$ -19.35;Felipe;Supermercado;Café/Lanche
08-11-2024;R$ -130.93;Felipe;Farmacia;
2024-08-11;-19.35;Felipe;Alimentacao;Café/Lanche
2024-08-13;R$ -180.80;Rafael;Lazer;Streaming anual
08-13-2024;-44,61;Felipe;Lazer;APP DE MUSICA
08-15-2024;4,000.00;Felipe;Depósito;Salario mensal de Felipe
2024-08-15;-216.31;Calebe;Uber/taxi;Combustivel
17/08/2024;-193,99;Rafael;Lazer;Show/Evento
2024-08-18;-134,97;Calebe;Transporte;Combustivel
2024-08-18;-642,30;Felipe;Mercado;Supermercado semanal
18/08/2024;-87,61;Rafael;Supermercado;jantar fora
19/08/2024;-192.80;Rafael;LAZER;Passeio
2024-08-19;-321.71;Calebbe;Cursos;Material didatico
19/08/2024;-321.71;Calebe;educacao;Material didatico
08-19-2024;R$ -51.89;Felipe;LAZER;App de musica
2024-08-19;R$ -36,14;Felipe;lazer;App de musica
19/08/2024;-32,60;Rafael;Restaurante;Jantar fora
19/08/2024;-321.71;Calebe;Estudos;Material didatico
08-19-2024;-32.02;Rafael;LAZER;App de musica
19/08/2024;-36,14;Felipe;Entretenimento;App de musica
08-20-2024;-52.71;Rafael;Restaurante;Café/Lanche *
20/08/2024;-58,39;Rafael;Cinema/Show;app de musica
2025-02-10;-913,78;Calebe;Combustivel;Parcela carro/seguro
20/08/2024;R$ -52.71;Rafael;Alimentacao;Café/Lanche
2024-02-19;-14,77;Rafael;Entretenimento;APP DE MUSICA
08-20-2024;-18,65;Rafaell;alimentacao;Café/Lanche
2024-08-20;-52,12;Rafael;Alimentacao;Jantar fora
20/08/2024;-58,39;Rafael;LAZER;
2024-08-20;-58,39;Rafael;LAZER;App de musica
2024-08-21;-96.32;Rafael;Supermercado;Jantar fora
2024-08-21;-139.23;Calebe;TRANSPORTE;Combustivel
21/08/2024;-139.23;Calebe;TRANSPORTE;Combustivel
2024-08-24;-112,80;Rafael;LAZER;Show/Evento
2024-08-24;-134,75;Calebe;Transporte;COMBUSTIVEL
08-25-2024;-602,04;Felipe;Restaurante;Supermercado semanal
08-25-2024;800,00;Rafaell;Renda;Salario mensal de Rafael
2024-08-25;800,00;Rafael;salario;
08-28-2024;R$ -1,532.41;Calebbe;Estudos;Transferencia para Poupanca
2024-08-28;-47,50;Felipe;Streaming;App de musica
08-29-2024;-45.49;Felipe;Uber/taxi;Estacionamento
2024-08-29;-119.63;Calebe;Transporte;Combustivel
2024-08-29;-45,49;Felipe;Gastos com Carro;Estacionamento
08-30-2024;-585.98;Felipe;Restaurante;
08-31-2024;-71,01;Rafael;Mercado;Lanche
08-31-2024;-71,01;Rafael;alimentacao;Lanche
2024-09-02;-378.33;Felipe;Restaurante;Supermercado semanal
2024-09-03;-52,18;Rafael;ALIMENTACAO;Jantar fora
09-04-2024;-7,82;Felipe;lazer;App de musica
09-04-2024;-7,82;Felipe;Entretenimento;App de musica
09-06-2024;8000,00;Calebe;Pagamento;Salario mensal de Calebe
09-06-2024;R$ -87,10;C.alebe;Transporte;Combustivel
2024-09-07;R$ -5.73;Felipe;Entretenimento;App de musica
09-07-2024;-2048.27;Calebe;Aluguel/Moradia;Aluguel residencial
2024-09-07;-2.048,27;Calebe;MORADIA;
2024-09-07;-161.24;Felipe;saude;Consulta
2024-09-10;-93,35;Rafael;Lazer;Streaming anual
10/09/2024;-526,70;Calebe;Gastos com Carro;Parcela carro/seguro
2024-09-10;-93,35;Rafael;Streaming;Streaming anual
2024-09-10;-35,53;Rafa;Entretenimento;Cinema
2024-09-10;-474,03;Calebe;Uber/taxi;Parcela carro/seguro
2024-09-11;R$ -454,35;Felipe;Supermercado;SUPERMERCADO SEMANAL
2024-09-11;-37.89;Rafael;Entretenimento;Show/Evento
09-11-2024;-454.35;Felipe;Alimentacao;Supermercado semanal
09-11-2024;-37.89;Rafael;Entretenimento;show/evento
